# problem=SEAS Benchmark BP5-QD
# code=Thrase
# modeler=B. A. Erickson
# date=2023/01/09
# element size=xx m
# location=on fault, z = 0.5 km
# Lz = 80 km
t slip_y slip_z slip_rate_y slip_rate_z shear_stress state
0.0	0.0	0.0	-9.0	13.273061184881861	8.146128035678238
1.514507337967835	1.5247619970068925e-9	4.913246335931545e-13	-8.993458698518214	-12.137367237696115	13.273730537744868	8.146128035676826
2.584485272865442	2.6204665627322617e-9	1.7321230222949385e-12	-8.985189992250172	-11.774817400171534	13.274567850182557	8.146128035673335
3.4652130348056644	3.5427182236758313e-9	3.753681752127488e-12	-8.973921138878113	-11.51869046971732	13.275699152943778	8.146128035667788
4.234400428538137	4.373262981359803e-9	6.779356100648377e-12	-8.958312327029736	-11.300623856276488	13.277254744869591	8.146128035659759
4.931260785741957	5.1584893490907526e-9	1.1214311528966322e-11	-8.936572092988596	-11.098415566635058	13.27940764758662	8.146128035648493
5.578514271275465	5.9325108145990575e-9	1.7732598841438964e-11	-8.906244749438114	-10.900931144180744	13.282393479626268	8.146128035632891
6.19090588861946	6.72827581083062e-9	2.748044877951889e-11	-8.86389722418883	-10.700309672962781	13.286539234496317	8.146128035611346
6.7134693555203375	7.484835790176257e-9	4.045366446053473e-11	-8.812366702284635	-10.513730997241783	13.291555473528852	8.146128035585445
7.075317494197871	8.072466835711534e-9	5.3520382548336135e-11	-8.764988251228706	-10.372840213162851	13.296127015750319	8.146128035561974
7.2913314209866025	8.458332274141052e-9	6.368853634474053e-11	-8.73043985727355	-10.282315101399352	13.299399617240342	8.146128035545244
7.432485676861045	8.728651018899134e-9	7.160450113119278e-11	-8.70495385537046	-10.220537742440042	13.30176959591891	8.146128035533028
7.526644375861207	8.91828651202051e-9	7.755201565133876e-11	-8.686873537785631	-10.178850735473542	13.303431635584749	8.14612803552427
7.620153780085679	9.114725612014662e-9	8.404926992237997e-11	-8.668387071403965	-10.1378514034638	13.305123482070524	8.146128035515073
7.712634840432394	9.31746275560514e-9	9.109948059871718e-11	-8.649909438749534	-10.098371167383117	13.306816784119745	8.146128035505477
7.8108806021834525	9.54249159122465e-9	9.931066655777665e-11	-8.630342365345044	-10.058056216680951	13.308613912057085	8.14612803549473
7.910937130211962	9.782271607920129e-9	1.0847465388573567e-10	-8.610643860222508	-10.018876741372521	13.31041423198881	8.146128035483207
8.008585646727672	1.0026923137647337e-8	1.1823094879322877e-10	-8.591709947505322	-9.982422699210572	13.312119047942621	8.146128035471412
8.124681938238801	1.033189203354327e-8	1.30918118128231e-10	-8.569574483703	-9.941165580475474	13.314064764159573	8.1461280354567
8.279138212031548	1.0762232888502412e-8	1.4971574309841767e-10	-8.540661282564452	-9.889275289458343	13.31651534644649	8.14612803543603
8.494533995291606	1.141175512520633e-8	1.7982619865773145e-10	-8.50101898732061	-9.821398056247647	13.319693108756372	8.146128035405226
8.769051469502049	1.2329880752252114e-8	2.2541410306829123e-10	-8.450747695727511	-9.740042981171742	13.323404661178259	8.14612803536289
9.08852058723883	1.3542767858112998e-8	2.901209665310272e-10	-8.390663606750428	-9.648753801127251	13.327364215214782	8.146128035309623
9.458632086599101	1.518434179239068e-8	3.842794713420139e-10	-8.315132364340236	-9.541600389858527	13.33165107998499	8.146128035242928
9.896835693981838	1.757289185995639e-8	5.320129213437704e-10	-8.210632911956873	-9.403559421638636	13.336603770891772	8.146128035157334
10.354801849138488	2.0865512964574564e-8	7.518108970394719e-10	-8.073820597681218	-9.23411436946862	13.342034496036636	8.146128035060077
10.597230977161114	2.312807251081499e-8	9.114087137017144e-10	-7.985527472736406	-9.129041759654637	13.345171198747385	8.146128035005123
10.73473797710973	2.4644158214549792e-8	1.021569613224976e-9	-7.929540114791244	-9.063657655496137	13.347062165115055	8.146128034972795
10.833326812371373	2.5862251015212554e-8	1.111715224275795e-9	-7.886758220378605	-9.014252903790329	13.348464676071112	8.146128034949077
10.911660896614501	2.692127171799676e-8	1.19115256524493e-9	-7.851393449817361	-8.973757963316164	13.349600079811776	8.146128034929898
10.999098344831273	2.821148791170924e-8	1.2891285060860703e-9	-7.810840687072931	-8.927700776975732	13.350883449959762	8.146128034908136
11.079569781151651	2.951124984655466e-8	1.3890030008551405e-9	-7.7729296419475435	-8.885014420017674	13.352075465528834	8.14612803488777
11.162811417886731	3.0981143037304245e-8	1.503175649063974e-9	-7.733450116769367	-8.840948838512002	13.353317350528808	8.146128034866363
11.264194514285075	3.2962046958705396e-8	1.6587714691621777e-9	-7.685165299208879	-8.787589930708128	13.35484248278012	8.14612803483982
11.400875076313826	3.600765188710413e-8	1.9010947457351655e-9	-7.6196151980630535	-8.716066286051536	13.356924651433072	8.146128034803212
11.53891168800156	3.959071142997134e-8	2.1898213504709203e-9	-7.552553311143604	-8.643927678195018	13.359056375517284	8.14612803476526
11.629640581663958	4.2267995043213715e-8	2.407490081159766e-9	-7.507839318431853	-8.596376739926344	13.360462406051823	8.146128034739768
11.714375251456863	4.5031746288596216e-8	2.633516545658808e-9	-7.465533633605123	-8.55176916145611	13.361769455080823	8.146128034715574
11.813663794083801	4.8635151342437954e-8	2.9297797062611692e-9	-7.41517099257209	-8.499125162306411	13.363289090581949	8.146128034686747
11.944253079866124	5.4066634785929744e-8	3.378758788285149e-9	-7.347364191117357	-8.428979955363555	13.365270302229032	8.146128034648054
